reference,hypothesis,count,group
corresponds,raised,1,Superscript/exponents
rate of,third power,1,Superscript/exponents
how one year of ten percent inflation reduces a fifty percent debt-to-g d p ratio by approximately five percent,the multiplication of two percentages where the result represents the compound effect of applying one percentage rate to another,1,greek letters
product,quantity,1,Brackets/grouping
line drawn from the new point to existing point i,term consisting of one plus a product of two factors,1,basic operators
sub,equals,1,basic operators
dot,dots,1,punctuation/separators
open curly,the quantity,1,Brackets/grouping
where lowercase u of lowercase f is,of twice the unit step function in,1,latin letters
expression,formula,1,greek letters
element in ell one with components x,examines the behavior of the sequence y,1,optimization operators
sub zero y sub,with indices starting from,1,Subscripts/indices
set,degrees,1,Brackets/grouping
close square bracket and this,where the position vector x,1,Brackets/grouping
parametric representation of a regular curve in the plane with curvature nowhere zero,parameter t which varies between t subscript one and t subscript two inclusive,1,Subscripts/indices
close,over,1,Fractions/Divisions
close parenthesis denotes,modded out by,1,Brackets/grouping
n equals one to infinity,natural numbers starting from one,1,basic operators
z subscript two representing,zed two which represents,1,Subscripts/indices
is the dimension of the space in which the lattice exists,are variables that typically represent dimensions or degrees in mathematical contexts,1,greek letters
existential second-order logic,of borel sets,1,Brackets/grouping
close parenthesis which corresponds to one hundred eighty degrees,degree measure as a half rotation around a circle,1,Brackets/grouping
in the lindhard formula,of q and omega,1,greek letters
subscript k,single-particle energies,1,Subscripts/indices
open angle bracket,expectation value of,1,Brackets/grouping
number of spacetime dimensions,involves the minkowski metric,1,optimization operators
close parenthesis where,of another function,1,Brackets/grouping
open angle bracket bold,expectation value of the,1,Brackets/grouping
subscript,of,1,Subscripts/indices
operator name diag open parenthesis,the diagonal matrix with entries,1,Brackets/grouping
one third comma,one-third negative one-third,1,punctuation/separators
transforming in,applied to,1,optimization operators
close,subscript,1,Subscripts/indices
subscript sun symbol refers to solar values and,values represent absolute magnitudes in the v-band for,1,Subscripts/indices
subscript asterisk refers to stellar,sun and the star respectively,1,Subscripts/indices
end root,close parenthesis,1,Brackets/grouping
close parenthesis representing,this expression captures,1,Brackets/grouping
n subscript one is the refractive index of the initial medium,incidence at which light with a particular polarization is perfectly transmitted,1,Subscripts/indices
lowercase j,j which,1,latin letters
lowercase e,is the,1,latin letters
bold lowercase v and,terms of either the,1,latin letters
represents sources,for phi,1,greek letters
bracket,the,1,Brackets/grouping
where lowercase,us here,1,latin letters
half-normal distribution using,sigma which represents,1,greek letters
sigma parametrization,the distribution,1,greek letters
squared,denote,1,Superscript/exponents
variance,formula,1,greek letters
second case is infinity otherwise,formula for certain probability distributions,1,greek letters
the lag weight at lag i in the polynomial,a weighted series expansion with coefficients a sub j,1,Subscripts/indices
close parenthesis close parenthesis,represents the probability that,1,Brackets/grouping
been administered at,to the value,1,optimization operators
is taken from the opposition’s most recently published fifa world ranking before the match,where higher-ranked opponents indicated by lower ranking position numbers result in larger multiplier values,1,greek letters
conventional principal component analysis operates on zero-centered,equals the zero vector indicating that the,1,basic operators
open parenthesis,between point,1,Brackets/grouping
comma,points,1,punctuation/separators
close parenthesis,points i,1,Brackets/grouping
new team rating,particular index n,1,Subscripts/indices
with a hat over it meaning,hat which denotes an estimator or,1,Fractions/Divisions
parameter theta,value of,1,greek letters
expression for,parameter theta,1,greek letters
close fraction and finally the,with the overall result expressed,1,Fractions/Divisions
open parenthesis,celsius for,1,Brackets/grouping
azimuthal,momentum,1,greek letters
g superscript,for atom,1,Superscript/exponents
subscript vertical bar,orbital state ket,1,Subscripts/indices
d t of,dt equals negative,1,basic operators
mass balance for substance,molar flow rate of,1,Subscripts/indices
times,volume,1,basic operators
upper,oxygen,1,capitalization
upper,s,1,capitalization
the highest occupied,consecutive quantum levels,1,greek letters
subscript,iron,1,Subscripts/indices
subscript two right arrow,monoxide or hydrogen yields,1,Subscripts/indices
subscript four,three oxide,1,Subscripts/indices
i,lowercase,1,latin letters
y is,zero plus,1,basic operators
yield stress sigma,hall-petch strengthening coefficient,1,greek letters
optical rotation lambda,lambda-th component of,1,greek letters
four pi,its diameter,1,greek letters
lowercase u,followed by,1,latin letters
comma,produces,1,punctuation/separators
comma dot dot dot comma,and so on up to,1,punctuation/separators
close parenthesis set,but not in,1,Brackets/grouping
m right curly brace,em and so on,1,Brackets/grouping
i times,twenty-three-bit mantissa—times,1,basic operators
floor,power,1,Superscript/exponents
open parenthesis,that k,1,Brackets/grouping
little,lowercase,1,latin letters
game tree,formula is,1,greek letters
open curly brace a to,all strings formed by repeating,1,Brackets/grouping
which,equals,1,basic operators
close,equals,1,basic operators
open parenthesis,showing that,1,Brackets/grouping
open parenthesis,applied to,1,Brackets/grouping
close parenthesis,followed by,1,Brackets/grouping
all of that divided by,one to time t in,1,Fractions/Divisions
subscript,time,1,Subscripts/indices
are k by k,plus an error term,1,basic operators
treatment effect equals,sample mean of,1,basic operators
plus,of,1,basic operators
close bracket,of liabilities,1,Brackets/grouping
of assets are difficult to observe directly,recorded on the balance sheet for both,1,Brackets/grouping
uppercase,line,1,capitalization
uppercase d line,stock market analysis,1,capitalization
to,cubed,1,Superscript/exponents
ten percent equals,twentieth which is,1,basic operators
quantity in parenthesis,product of (n,1,Brackets/grouping
p subscript,b) where,1,Subscripts/indices
lowercase,vectors,1,latin letters
sequence beginning with x subscript zero x,limit as n approaches infinity of y,1,Subscripts/indices
from i equals one to,accounts for the pairwise products,1,basic operators
is an,ranges over,1,Fractions/Divisions
divided,one,1,Fractions/Divisions
which in this context is identified with,the cyclic group of order two comma,1,punctuation/separators
open square bracket,the floor of,1,Brackets/grouping
comma,frequency,1,punctuation/separators
with flavor,c gamma,1,greek letters
of open parenthesis,the three arguments,1,Brackets/grouping
fourier transform,fraction normalizes,1,Fractions/Divisions
of x and t with respect to t,to have unit magnitude while preserving its phase,1,integral
excess particle,power of,1,Superscript/exponents
raised,s,1,Superscript/exponents
close parenthesis,a sequence,1,Brackets/grouping
lowercase,little,1,latin letters
the force on,a vector quantity,1,Brackets/grouping
open parenthesis bar four,the ordered triple open,1,Brackets/grouping
is,times,1,basic operators
of y semicolon,with scale parameter,1,punctuation/separators
exponential,power,1,Superscript/exponents
an,equals,1,basic operators
population,quantity,1,Brackets/grouping
and,subscript,1,Subscripts/indices
y values and s sub,sample standard deviation of the,1,Subscripts/indices
open parenthesis,of the,1,Brackets/grouping
end square root close,with that entire fraction,1,Fractions/Divisions
vertical bar,the quantity,1,Brackets/grouping
dot dot dot,through the ellipsis,1,punctuation/separators
shown as vertical bar,the do-intervention that sets,1,Brackets/grouping
new team rating,the index n,1,Subscripts/indices
bold lowercase,the vector,1,latin letters
